g,bp_rp
15.553667,0.82003117
15.554314,1.1885681
15.555076,0.7487297
15.557183,1.0476446
15.562899,0.95641136
15.56305,0.9446726
15.56326,1.2766514
15.563922,0.93742466
15.564238,0.8882837
15.564401,0.8356924
15.565438,1.6770782
15.566455,1.1095896
15.567992,0.9899368
15.5697,2.2009163
15.576478,0.73136425
15.5788145,1.0479097
15.579497,0.8045244
15.580064,0.83906746
15.581485,0.9343443
15.582621,1.4516983
15.5839205,1.356782
15.585437,1.2337236
15.586157,1.0672388
15.587623,0.8152418
15.591234,1.024106
15.592521,1.0022612
15.599525,1.1171865
15.600731,1.3958559
15.603005,0.9531975
15.605941,0.79841805
15.607928,0.81073666
15.608175,0.76033306
15.6089,0.98590755
15.60998,0.7930412
15.611926,0.77212715
15.612301,0.7652235
15.614163,0.75738525
15.614951,1.0026302
15.615988,0.83705616
15.61984,0.90857315
15.624673,0.7558565
15.624974,0.917366
15.631281,0.7786951
15.633273,0.83490944
15.635257,0.86539364
15.635807,1.0277109
15.636361,0.7982979
15.638498,1.1898022
15.638768,1.4180288
15.638854,0.7613754
15.640979,0.76024055
15.6425705,0.8012953
15.642703,0.92845917
15.643533,0.711277
15.644935,1.0612726
15.64654,1.0496645
15.649382,1.4631891
15.651914,1.2212257
15.653279,0.73719406
15.656564,1.0283298
15.659948,0.8014431
15.660112,1.4645205
15.660436,1.1273727
15.662664,0.7749338
15.664804,1.094367
15.665287,1.1809978
15.66751,1.1654024
15.668088,1.1740446
15.670275,0.80707645
15.670282,1.0291271
15.670986,0.7816334
15.671546,1.0985394
15.677208,1.0911474
15.677756,0.9345703
15.678803,0.93023777
15.680686,0.83501434
15.682227,1.3079557
15.683278,1.1816168
15.685961,0.8047247
15.690097,1.0590324
15.691646,1.1645899
15.691784,0.7871704
15.692187,1.167099
15.69339,0.78228664
15.69498,1.0817719
15.695192,0.9261265
15.696083,1.1193571
15.6964445,1.030612
15.704557,1.3504057
15.705887,0.9708929
15.71605,0.77603626
15.718351,0.7991867
15.720896,0.88942814
15.7213955,1.076191
15.721483,0.7838392
15.722029,0.7545452
15.722155,1.2535887
15.7257185,1.3685846
15.726895,1.1140518
15.731867,0.88197994
15.732208,1.2907848
15.735045,0.75627804
