Vendor;Model;Optics;D (mm);D (inch);FL (mm);f/Ratio;Mag;"DL ("")";Min;Max;FF (°)
Vixen;R200SS;Newtonian;200;7,9;800;4;14,2;0,6;27x;317x;
Vixen;Skypod;Refractor;110;4,3;1035;9,4;12,9;1,1;15x;175x;
Vixen;VC200L;Cassegrain;200;7,9;1800;9;14,2;0,6;27x;317x;
Vixen;VMC200L;Schmidt-Cassegrain;200;7,9;1950;9,8;14,2;0,6;27x;317x;
William Optics;FLT 110;Refractor;110;4,3;770;7;12,9;1,1;15x;175x;
William Optics;FLT 110 DDG;Refractor;110;4,3;770;7;12,9;1,1;15x;175x;
William Optics;FLT 132;Refractor;132;5,2;925;7;13,3;0,9;18x;210x;
William Optics;FLT 151;Refractor;151;5,9;998;6,6;13,6;0,8;20x;240x;
William Optics;FLT 152;Refractor;152;6;1200;7,9;13,6;0,8;20x;241x;
William Optics;FLT 158;Refractor;158;6,2;1121;7,1;13,7;0,7;21x;251x;
William Optics;FLT 98;Refractor;98;3,9;618;6,3;12,7;1,2;13x;156x;
William Optics;FLT 98 DDG;Refractor;98;3,9;618;6,3;12,7;1,2;13x;156x;
William Optics;Gran Turismo 102 FD;Refractor;102;4;704;6,9;12,7;1,1;14x;162x;
William Optics;Gran Turismo 153 FD;Refractor;153;6;1193;7,8;13,6;0,8;20x;243x;
William Optics;Gran Turismo 71 FD;Refractor;71;2,8;420;5,9;12,0;1,6;9x;113x;
William Optics;Gran Turismo 81 FD;Refractor;81;3,2;478;5,9;12,2;1,4;11x;129x;
William Optics;GTF 102;Refractor;102;4;703;6,9;12,7;1,1;14x;162x;
William Optics;GTF 81;Refractor;81;3,2;478;5,9;12,2;1,4;11x;129x;
William Optics;Megrez 110;Refractor;110;4,3;655;6;12,9;1,1;15x;175x;
William Optics;Megrez 66;Refractor;66;2,6;416;6,3;11,8;1,8;9x;105x;
William Optics;Megrez 66 APO;Refractor;66;2,6;462;7;11,8;1,8;9x;105x;
William Optics;Megrez 72;Refractor;72;2,8;432;6;12,0;1,6;10x;114x;
William Optics;Megrez 80;Refractor;80;3,1;480;6;12,2;1,4;11x;127x;
William Optics;Megrez 80 II ED;Refractor;80;3,1;560;7;12,2;1,4;11x;127x;
William Optics;Megrez 80 II SD;Refractor;80;3,1;500;6,3;12,2;1,4;11x;127x;
William Optics;Megrez 80/600;Refractor;80;3,1;600;7,5;12,2;1,4;11x;127x;
William Optics;Megrez 88;Refractor;88;3,5;498;5,7;12,4;1,3;12x;140x;
William Optics;Megrez 90;Refractor;90;3,5;621;6,9;12,5;1,3;12x;143x;
William Optics;Phoenix 80s;Refractor;80;3,1;480;6;12,2;1,4;11x;127x;
William Optics;RedCat 51;Refractor;51;2;250;4,9;11,2;2,3;7x;81x;
William Optics;ZenithStar 103 APO;Refractor;103;4,1;710;6,9;12,8;1,1;14x;163x;
William Optics;ZenithStar 103 APO;Refractor;103;4,1;710;6,9;12,8;1,1;14x;163x;
William Optics;ZenithStar 110;Refractor;110;4,3;770;7;12,9;1,1;15x;175x;
William Optics;ZenithStar 61 APO;Refractor;61;2,4;360;5,9;11,6;1,9;8x;97x;
William Optics;ZenithStar 66;Refractor;66;2,6;410;6,2;11,8;1,8;9x;105x;
William Optics;ZenithStar 66 Petzval ED;Refractor;66;2,6;400;6,1;11,8;1,8;9x;105x;
William Optics;ZenithStar 66 SD;Refractor;66;2,6;388;5,9;11,8;1,8;9x;105x;
William Optics;ZenithStar 70;Refractor;70;2,8;430;6,1;11,9;1,7;9x;111x;
William Optics;ZenithStar 71 ED;Refractor;71;2,8;418;5,9;12,0;1,6;9x;113x;
William Optics;ZenithStar 73 APO;Refractor;73;2,9;430;5,9;12,0;1,6;10x;116x;
William Optics;ZenithStar 80;Refractor;80;3,1;480;6;12,2;1,4;11x;127x;
William Optics;ZenithStar 80 FD;Refractor;80;3,1;555;6,9;12,2;1,4;11x;127x;
William Optics;ZenithStar 80 II ED;Refractor;80;3,1;545;6,8;12,2;1,4;11x;127x;
Zhumell;Aurora 70;Refractor;70;2,8;900;12,9;11,9;1,7;9x;111x;
Zhumell;Eclipse 114;Newtonian;114;4,5;1000;8,8;13,0;1,0;15x;181x;
Zhumell;Z10;Newtonian;254;10;1249.9;4,9;14,7;0,5;34x;403x;
Zhumell;Z12;Newtonian;304;12;1499.9;4,9;15,1;0,4;41x;483x;
Zhumell;Z8;Newtonian;203;8;1199.9;5,9;14,2;0,6;27x;322x;
Zhumell;Zenith 60x600;Refractor;60;2,4;600;10;11,6;1,9;8x;95x;
Zhumell;Zenith 60x600;Refractor;60;2,4;600;10;11,6;1,9;8x;95x;
ZWO;FF107 - APO;Refractor;107;4,2;749;7;12,8;1,1;14x;170x;
ZWO;FF130 - APO;Refractor;130;5,1;1000;7,7;13,3;0,9;17x;206x;
ZWO;FF65 - APO;Refractor;65;2,6;416;6,4;11,8;1,8;9x;103x;
ZWO;FF80 - APO;Refractor;80;3,1;600;7,5;12,2;1,4;11x;127x;
ZWO;Seestar S30;Refractor;30;1,2;150;5;10,1;3,9;4x;48x;
ZWO;Seestar S50;Refractor;50;2;250;5;11,2;2,3;7x;79x;
