Vendor;Model;Optics;D (mm);D (inch);FL (mm);f/Ratio;Mag;"DL ("")";Min;Max;FF (°)
Orion;ShortTube 4.5 EQ;Newtonian;114;4,5;1000;8,8;13,0;1,0;15x;181x;
Orion;ShortTube 80mm EQ Refractor;Refractor;80;3,1;400;5;12,2;1,4;11x;127x;
Orion;ShortTube 90mm EQ Refractor;Refractor;90;3,5;500;5,6;12,5;1,3;12x;143x;
Orion;Sirius 100ED Apo Refractor;Refractor;100;3,9;900;9;12,7;1,2;13x;159x;
Orion;Sirius 8 EQ-G;Newtonian;203;8;1000;4,9;14,2;0,6;27x;322x;
Orion;Sirius ED80 EQ-G;Refractor;80;3,1;600;7,5;12,2;1,4;11x;127x;
Orion;"Sky-Watcher 10"" EQ Reflector";Newtonian;254;10;1200;4,7;14,7;0,5;34x;403x;
Orion;SkyQuest XT10 Dob;Newtonian;254;10;1200;4,7;14,7;0,5;34x;403x;
Orion;SkyQuest XT10g GoTo;Newtonian;254;10;1199.9;4,7;14,7;0,5;34x;403x;
Orion;SkyQuest XT10i IntelliScope;Newtonian;254;10;1199.9;4,7;14,7;0,5;34x;403x;
Orion;SkyQuest XT12g GoTo;Newtonian;305;12;1500;4,9;15,1;0,4;41x;484x;
Orion;SkyQuest XT12i IntelliScope;Newtonian;305;12;1500;4,9;15,1;0,4;41x;484x;
Orion;SkyQuest XT4.5 Dob;Newtonian;114;4,5;910;8;13,0;1,0;15x;181x;
Orion;SkyQuest XT6 Dob;Newtonian;150;5,9;1200;8;13,6;0,8;20x;238x;
Orion;SkyQuest XT6i IntelliScope;Newtonian;150;5,9;1200;8;13,6;0,8;20x;238x;
Orion;SkyQuest XT8 Dob;Newtonian;203;8;1200;5,9;14,2;0,6;27x;322x;
Orion;SkyQuest XT8g GoTo;Newtonian;203;8;1199.9;5,9;14,2;0,6;27x;322x;
Orion;SkyQuest XT8i IntelliScope;Newtonian;203;8;1199.9;5,9;14,2;0,6;27x;322x;
Orion;SkyQuest XX12g GoTo;Newtonian;305;12;1500;4,9;15,1;0,4;41x;484x;
Orion;SkyQuest XX12i IntelliScope;Newtonian;305;12;1500;4,9;15,1;0,4;41x;484x;
Orion;SkyQuest XX14g GoTo;Newtonian;356;14;1650.1;4,6;15,5;0,3;47x;565x;
Orion;SkyQuest XX14i IntelliScope;Newtonian;356;14;1650.1;4,6;15,5;0,3;47x;565x;
Orion;SkyQuest XX16g GoTo;Newtonian;406;16;1799.8;4,4;15,7;0,3;54x;644x;
Orion;SkyScanner 100mm;Newtonian;100;3,9;400;4;12,7;1,2;13x;159x;
Orion;SkyView Deluxe 6 EQ Newt;Newtonian;150;5,9;750;5;13,6;0,8;20x;238x;
Orion;SkyView Deluxe 8 EQ Newt;Newtonian;200;7,9;800;4;14,2;0,6;27x;317x;
Orion;SkyView Pro 100mm ED EQ Apo Refractor;Refractor;100;3,9;900;9;12,7;1,2;13x;159x;
Orion;SkyView Pro 120mm EQ Refractor;Refractor;120;4,7;1000;8,3;13,1;1,0;16x;190x;
Orion;SkyView Pro 127mm Mak-Cass;Mak-Cassegrain;127;5;1540;12,1;13,2;0,9;17x;202x;
Orion;SkyView Pro 150mm Mak-Cass;Mak-Cassegrain;150;5,9;1800;12;13,6;0,8;20x;238x;
Orion;SkyView Pro 180mm Mak-Cass;Mak-Cassegrain;180;7,1;2700;15;14,0;0,6;24x;286x;
Orion;SkyView Pro 3.6 Clear-Aperture;Newtonian;91;3,6;1240;13,6;12,5;1,3;12x;144x;
Orion;SkyView Pro 6 EQ;Newtonian;150;5,9;750;5;13,6;0,8;20x;238x;
Orion;SkyView Pro 6LT EQ;Newtonian;150;5,9;1200;8;13,6;0,8;20x;238x;
Orion;SkyView Pro 8 EQ;Newtonian;203;8;1000;4,9;14,2;0,6;27x;322x;
Orion;SkyView Pro 8 XLT SCT;Schmidt-Cassegrain;203;8;2032;10;14,2;0,6;27x;322x;
Orion;SkyView Pro 80mm ED EQ Apo Refractor;Refractor;80;3,1;600;7,5;12,2;1,4;11x;127x;
Orion;SkyView Pro 9.25 XLT SCT;Schmidt-Cassegrain;235;9,3;2350;10;14,6;0,5;31x;373x;
Orion;SpaceProbe 130 EQ;Newtonian;130;5,1;900;6,9;13,3;0,9;17x;206x;
Orion;SpaceProbe 130ST EQ;Newtonian;130;5,1;650;5;13,3;0,9;17x;206x;
Orion;SpaceProbe 130ST EQ Reflector;Newtonian;130;5,1;650;5;13,3;0,9;17x;206x;
Orion;SpaceProbe 3;Newtonian;76;3;700;9,2;12,1;1,5;10x;121x;
Orion;StarBlast;Newtonian;113;4,4;450;4;13,0;1,0;15x;179x;
Orion;StarBlast 4.5 EQ;Newtonian;114;4,5;450;3,9;13,0;1,0;15x;181x;
Orion;StarBlast 6;Newtonian;150;5,9;750;5;13,6;0,8;20x;238x;
Orion;StarBlast 62mm;Refractor;62;2,4;520;8,4;11,7;1,9;8x;98x;
Orion;StarBlast 6i;Newtonian;150;5,9;750;5;13,6;0,8;20x;238x;
Orion;StarBlast 70mm;Refractor;70;2,8;500;7,1;11,9;1,7;9x;111x;
Orion;StarBlast 80mm;Refractor;80;3,1;350;4,4;12,2;1,4;11x;127x;
Orion;StarBlast 90mm;Refractor;90;3,5;603;6,7;12,5;1,3;12x;143x;
Orion;Starmax 102 EQ Mak;Mak-Cassegrain;102;4;1300;12,7;12,7;1,1;14x;162x;
Orion;Starmax 127 EQ Mak;Mak-Cassegrain;127;5;1540;12,1;13,2;0,9;17x;202x;
Orion;Starmax 90 EQ Mak;Mak-Cassegrain;90;3,5;1250;13,9;12,5;1,3;12x;143x;
Orion;Starseeker 114;Newtonian;114;4,5;450;3,9;13,0;1,0;15x;181x;
Orion;Starseeker 130;Newtonian;130;5,1;650;5;13,3;0,9;17x;206x;
Orion;Starseeker 70;Refractor;70;2,8;700;10;11,9;1,7;9x;111x;
Orion;Starseeker 80;Refractor;80;3,1;400;5;12,2;1,4;11x;127x;
Orion;Starseeker II 102mm;Refractor;102;4;663;6,5;12,7;1,1;14x;162x;
Orion;Starseeker II 130mm;Refractor;130;5,1;650;5;13,3;0,9;17x;206x;
Orion;StarSeeker III 102mm;Mak-Cassegrain;102;4;1300;12,7;12,7;1,1;14x;162x;
Orion;StarSeeker III 114mm;Newtonian;114;4,5;500;4,4;13,0;1,0;15x;181x;
Orion;StarSeeker III 127mm;Mak-Cassegrain;127;5;1540;12,1;13,2;0,9;17x;202x;
Orion;StarSeeker III 90mm;Mak-Cassegrain;90;3,5;1250;13,9;12,5;1,3;12x;143x;
Orion;Starseeker IV 114;Newtonian;114;4,5;500;4,4;13,0;1,0;15x;181x;
Orion;Starseeker IV 127mm Mak-Cass;Mak-Cassegrain;127;5;1540;12,1;13,2;0,9;17x;202x;
Orion;Starseeker IV 130;Newtonian;130;5,1;650;5;13,3;0,9;17x;206x;
Orion;Starseeker IV 150;Newtonian;150;5,9;750;5;13,6;0,8;20x;238x;
Orion;Starseeker IV 150mm Mak-Cass;Mak-Cassegrain;150;5,9;1800;12;13,6;0,8;20x;238x;
Orion;Starseeker IV 80;Refractor;80;3,1;900;11,3;12,2;1,4;11x;127x;
Orion;Transporter 70mm Min-EQ;Refractor;70;2,8;350;5;11,9;1,7;9x;111x;
