ra,dec,phot_g_mean_mag,bp_rp
250.40964121394126,36.47004340890186,16.36871,0.8422022
250.4258027617611,36.47332140014631,16.43629,
250.432063496709,36.48064422257101,18.045988,1.0876522
250.42649440952658,36.480433250448925,16.493664,0.86654854
250.42503127647407,36.47960960158724,18.305513,
250.42130423215454,36.47488828593242,17.964865,
250.42407773270364,36.480035293843095,18.460447,
250.42687054318273,36.48287509431441,17.744339,0.7845993
250.41868938428675,36.47672710914668,17.491486,
250.4166748186013,36.47635214598627,17.689354,
250.42003453748018,36.48904798657103,18.299557,0.71032715
250.42035016239834,36.4897530826788,18.30844,0.7117443
250.42683653212538,36.47473358778678,17.827547,
250.41970729572137,36.475717081003694,17.904247,
250.42243827288937,36.483849992300314,18.248611,0.72406197
250.42189026317803,36.48910811642392,18.130474,
250.423622547444,36.481672841428264,18.464048,
250.4238217839788,36.48366643487393,17.559689,0.8294029
250.42121383795583,36.48575271117429,18.237825,
250.38613398579815,36.455042114289576,15.720268,0.9623785
250.38718993093616,36.458659551807365,16.903156,0.1421814
250.37606916942562,36.46362426523158,18.111048,0.6564331
250.38020360890712,36.45947467415085,18.06461,
250.3729783301036,36.459400399976715,18.189186,0.7045231
250.36994231302808,36.4575844099631,18.302969,0.4731846
250.37823347574397,36.46035060674268,17.118559,0.8463402
250.3770470980275,36.452626976623044,17.560146,0.11704445
250.38566019888887,36.47658884148636,15.56215,0.9423151
250.39886007760163,36.47052751730515,15.779227,0.15767956
250.39427960591826,36.4684968340125,17.226282,0.8369398
250.39563457863673,36.47173483704998,18.390125,
250.39060409092835,36.46689596477801,18.454403,
250.38981337796636,36.47007149454538,18.468966,
250.3942236394222,36.475702380095456,18.285809,
250.38056508793517,36.469455173337586,18.192295,0.77066994
250.38573713177675,36.477483834342635,18.179615,0.8032112
250.39113631198964,36.46040076823437,18.118292,
250.3884731720298,36.47329046682206,18.378073,0.7063885
250.38608894724837,36.46874623553168,18.370346,0.72375107
250.3689762118185,36.46177971373695,15.946393,0.943964
250.3743701878723,36.468351560052945,18.401213,
250.37426886451865,36.47138327266768,18.467642,
250.36363629394305,36.46316814570165,18.160374,0.6736889
250.37096169150394,36.469491916284866,18.470646,
250.38171381326987,36.473582712498285,18.147215,
250.38734679611485,36.47960743838924,18.4815,
250.3793078621701,36.47802487771271,17.816984,0.6701412
250.3741577161097,36.47528032836158,17.728745,0.6988449
250.3776863065365,36.47894641594065,17.965366,0.60796165
250.38331208577696,36.48696818393787,18.396852,0.3474846
250.37444113382344,36.486047661329756,17.778322,0.7563019
250.36957511404464,36.47941478847217,17.608591,0.832283
250.37428390600562,36.475749863985314,18.114283,0.58392143
250.39538533911022,36.486180037256894,13.827084,1.1426611
250.4038085492594,36.474139607794335,15.863346,0.89906025
250.39972325505528,36.47412246610263,18.09677,0.76207924
250.4049402296094,36.48555279132553,17.708838,0.81920815
250.40195491704225,36.4872665641724,18.099018,0.4618206
250.40251850943696,36.48678712008723,17.677301,0.72756004
250.39994855639026,36.48867497880623,18.120897,0.6498146
250.4039971529326,36.483807273000416,18.017887,
250.4057728414956,36.48500246080853,14.38347,1.0711021
250.41370008284517,36.4845317381493,15.731846,0.05999279
250.41860291100346,36.49250631727052,18.456469,
250.4112024684421,36.49310654088145,17.777483,0.7971821
250.4076065621329,36.49027220911047,18.03846,0.67329407
250.41584994046758,36.49310069006562,18.475624,0.79003906
250.38829585475017,36.48810781267356,16.710215,0.90623856
250.39064695679045,36.48727455717645,18.193624,0.6952553
250.39527968480675,36.493522274836394,18.321653,
250.39714240221159,36.49641947927917,18.491688,0.59887505
250.39296013795084,36.49771138119497,17.70948,
250.40038199630004,36.49975068340204,15.701833,0.9785528
250.39355178941256,36.50132075412734,13.223247,1.2495861
250.40022338956206,36.4938303532951,17.904867,0.7122288
250.39911729026397,36.495907054610605,17.881994,0.7047062
