ID;Name;Type;RA;Dec;Mag;Mag 2;Sep;PosAngle;Catalogue;Spect
HIP31158;CCDM06323+1747, HD46136, BD+17 1286;Star+Dbl;06h 32m 19s;+17°47,0';6,3;6,3;;0;Hipparcos;F6V...
WDS07041+2034;Zeta Gem, SHJ77,Mekbuda;Dbl;07h 04m 07s;+20°34,2';4,1;7,7;101,5;347;WDS2024_08;F7-G3Ib
ASCC764613;HD268518;Star+Dbl;07h 04m 05s;+20°35,8';7,6;;;;ASCC;G
ASCC673721;65 Gem, HIP36429, HD59148;Star+Dbl;07h 29m 49s;+27°55,0';5,0;;818,0;333;ASCC;K2III
HIP36393;64 Gem, HD59037, BD+28 1396;Star;07h 29m 20s;+28°07,1';5,1;;;;Hipparcos;A4V
WDS16081+1703;Kappa Her, STF2010, BD+17 02964, Maasym,Marsic, HIP79043, HD145001, 7 Her;Dbl;16h 08m 05s;+17°02,8';5,1;6,2;26,8;14;WDS2024_08;G7g+K0IV
HIP79045;Maasym,Marsic, CCDM16081+1703, HD145000, BD+17 2965;Star+Dbl;16h 08m 05s;+17°03,2';6,2;6,2;;;Hipparcos;K1III
WDS16406+0413;37 Her, STFA31, HIP81641, HD150378, 3, ASCC1149754;Dbl;16h 40m 39s;+04°13,1';5,8;6,9;69,3;229;WDS2024_08;A1V+A3IV
ASCC1149748;HIP81634, HD150379, 36 Her;Star+Dbl;16h 40m 35s;+04°12,4';6,9;;;;ASCC;A3IV
WDS08437-0714;F Hydrae, S579, BD-06 02708;Dbl;08h 43m 40s;-07°14,0';4,7;8,2;78,8;310;WDS2024_08;G1Ib
ASCC1301576;HD74394;Star+Var Star+Dbl;08h 43m 36s;-07°13,1';8,2;;;;ASCC;A0
WDS10476-1516;STF1474, BD-14 03186;Dbl;10h 47m 38s;-15°15,7';6,7;7,0;65,9;27;WDS2024_08;B9IV
HIP52800;CCDM10477-1515, HD93525, BD-14 3188;Star;10h 47m 40s;-15°14,6';6,9;;;;Hipparcos;A:+...
WDS09205-0933;27 Hydrae, SHJ105, BD-08 02643;Dbl;09h 20m 29s;-09°33,3';4,9;7,0;229,1;211;WDS2024_08;G8III+F4V
HIP45802;CCDM09204-0934, HD80550, BD-09 2801;Star+Dbl;09h 20m 21s;-09°36,6';7,0;10,9;9,3;198;Hipparcos;F4V
WDS09291-0246;Tau 1 Hya, HJ1167, BD-02 02901,Ukdah;Dbl;09h 29m 09s;-02°46,1';4,6;7,3;65,7;4;WDS2024_08;F6V+K0
ASCC1225222;TYC4885-01567-1;Star+Var Star+Dbl;09h 29m 09s;-02°45,0';7,2;;;;ASCC;K0
WDS10167+2325;36 Leo, STFA18, BD+24 02209,Adhafera;Dbl;10h 16m 41s;+23°25,0';3,5;6,0;335,4;337;WDS2024_08;F0III
HIP50319;CCDM10166+2327, HD89010, BD+24 2207;Star;10h 16m 32s;+23°30,1';5,9;;;;Hipparcos;G2IV
WDS11141+2031;Delta Leo, STT573, BD+21 02298,Duhr,Zosma;Dbl;11h 14m 07s;+20°31,4';2,5;10,9;207,8;341;WDS2024_08;A4V
ASCC776743;;Star;11h 14m 02s;+20°34,6';11,0;;;;ASCC;
WDS11268+0301;83 Leo, STF1540, BD+03 02502;Dbl;11h 26m 45s;+03°00,7';6,6;7,5;28,6;146;WDS2024_08;G7V
HIP55848;CCDM11268+0300, HD99492, BD+03 2503;Star+Dbl;11h 26m 47s;+03°00,3';7,6;7,6;;;Hipparcos;K2V
WDS11279+0251;Tau Leo, STFA19, BD+03 02504;Dbl;11h 27m 56s;+02°51,3';5,1;7,5;89,2;181;WDS2024_08;G8II-III
ASCC1137433;HD99649;Star+Dbl;11h 27m 56s;+02°49,8';7,4;;;;ASCC;G5
WDS11480+2013;93 Leo, STFB7, BD+21 02358;Dbl;11h 47m 59s;+20°13,1';4,6;9,0;74,4;356;WDS2024_08;A7V
ASCC777622;BD+21 2357, CCDM J11480+2014B, TYC 1443-579-1, Gaia DR3 3976203314442064000;Star+Var Star+Dbl;11h 47m 59s;+20°14,3';8,9;;;;ASCC;
WDS05445-2227;Gamma Lep, H640, CD-22 01211;Dbl;05h 44m 28s;-22°26,9';3,6;6,3;95,5;349;WDS2024_08;F6V+K2V
ASCC1533816;HD38392;Star+Var Star+Dbl;05h 44m 27s;-22°25,3';6,2;;;;ASCC;K2
WDS14509-1603;Alpha Lib, SHJ186, BD-15 03966,Zubenelgenubi;Dbl;14h 50m 53s;-16°02,4';2,7;5,2;230,8;314;WDS2024_08;A3IV+F4IV
