nombre,alt,ra_grados,dec_grados,re_arcsec,razon_ejes,pa_grados,mag_v,sersic_n,frac_bulbo,polvo,n_medido
NGC 718,UGC 1356,28.30208,4.19667,41.38,0.871,45,11.84,1.0,0.5,0,9.19
NGC 745,ESO 152- 32,28.53875,-56.69,74.88,0.575,0,11.7,4.0,0.6,0,0.0
NGC 731,MCG -2- 5- 73,28.73417,-9.01083,15.74,1.0,0,12.1,4.0,1.0,0,0.0
NGC 741,UGC 1413,29.08708,5.62889,52.74,0.977,0,11.3,4.0,1.0,0,0.0
NGC 782,ESO 114- 15,29.4075,-57.79028,51.67,0.871,15,11.73,1.0,0.3,0,0.0
NGC 753,UGC 1437,29.42708,35.91611,32.82,0.776,125,12.22,1.0,0.15,0,0.0
NGC 772,UGC 1466,29.83458,19.00611,132.69,0.589,130,10.34,1.0,0.3,0,2.94
NGC 779,MCG -1- 6- 16,29.9275,-5.96472,45.74,0.295,160,11.2,1.0,0.3,1,1.42
NGC 777,UGC 1476,30.0625,31.42944,37.77,0.832,155,11.59,4.0,1.0,0,0.0
NGC 788,MCG -1- 6- 25,30.27667,-6.81694,45.44,0.759,0,12.1,1.0,0.6,0,0.0
NGC 784,UGC 1501,30.32083,28.8375,78.45,0.229,0,11.68,1.0,0.03,1,0.91
NGC 799,UGC 1527,30.55125,-0.10083,38.9,0.871,100,12.22,1.0,0.5,0,0.0
NGC 821,UGC 1631,32.08792,10.99556,62.68,0.631,25,10.77,4.0,1.0,0,0.0
NGC 835,MCG -2- 6- 31,32.35375,-10.13583,12.6,0.832,0,12.16,1.0,0.3,0,0.0
NGC 862,ESO 298- 20,33.26208,-42.03333,10.77,0.933,0,11.88,4.0,1.0,0,0.0
NGC 864,UGC 1736,33.86417,6.00139,126.21,0.759,20,10.85,1.0,0.15,0,2.24
IC 1788,ESO 415- 15,33.95958,-31.20167,37.76,0.437,27,11.59,1.0,0.15,0,0.0
NGC 877,UGC 1768,34.49458,14.54722,36.4,0.759,140,11.83,1.0,0.15,0,0.0
NGC 897,ESO 355- 7,35.27958,-33.72139,66.83,0.617,17,12.04,1.0,0.5,0,0.0
NGC 895,MCG -1- 7- 2,35.4025,-5.52167,60.1,0.708,0,11.71,1.0,0.08,0,1.6
NGC 890,UGC 1823,35.50458,33.26583,41.41,0.692,0,11.3,4.0,1.0,0,0.0
NGC 891,UGC 1831,35.63792,42.34667,260.7,0.186,22,10.06,1.0,0.3,1,0.0
NGC 908,ESO 545- 11,35.76917,-21.23333,106.42,0.437,75,10.28,1.0,0.15,0,0.96
NGC 922,ESO 478- 28,36.265,-24.78972,17.92,0.813,0,11.9,1.0,0.08,0,0.0
NGC 925,UGC 1913,36.82,33.57806,231.73,0.562,102,10.14,1.0,0.08,0,0.0
NGC 936,UGC 1929,36.90667,-1.15472,124.34,0.871,135,10.22,4.0,0.6,0,5.7
NGC 941,UGC 1954,37.11542,-1.15167,45.3,0.741,170,12.38,1.0,0.15,0,1.4
NGC 945,MCG -2- 7- 13,37.15542,-10.53944,44.78,0.832,10,12.24,1.0,0.15,0,0.0
NGC 955,UGC 1986,37.64,-1.10722,27.64,0.257,19,12.18,1.0,0.3,1,2.1
NGC 958,MCG -1- 7- 19,37.67875,-2.93917,42.49,0.347,10,12.34,1.0,0.15,1,0.0
NGC 949,UGC 1983,37.70375,37.13583,24.39,0.537,145,11.65,1.0,0.3,0,0.0
NGC 959,UGC 2002,38.1,35.495,37.28,0.617,65,12.4,1.0,0.03,0,0.0
NGC 986,ESO 299- 7,38.3925,-39.04528,65.05,0.759,150,10.89,1.0,0.3,0,6.32
NGC 972,UGC 2045,38.55542,29.31167,50.81,0.513,152,11.52,1.0,0.3,0,0.0
NGC 988,MCG -2- 7- 37,38.87375,-9.35972,22.0,0.537,0,10.83,1.0,0.08,0,0.0
IC 239,UGC 2080,39.11625,38.97,66.35,0.912,0,11.25,1.0,0.08,0,0.0
Maffei I,UGCA 34,39.15125,59.65583,0.4,0.832,100,10.5,4.0,1.0,0,0.0
NGC 1016,UGC 2128,39.58208,2.11806,36.07,1.0,0,11.71,4.0,1.0,0,0.0
NGC 1022,MCG -1- 7- 25,39.63667,-6.67806,54.95,0.832,115,11.34,1.0,0.5,0,0.0
NGC 1003,UGC 2137,39.81875,40.87278,60.82,0.339,97,11.45,1.0,0.08,1,0.0
NGC 1032,UGC 2147,39.84833,1.09333,39.96,0.339,68,11.74,1.0,0.6,0,3.93
NGC 1035,MCG -1- 7- 27,39.87208,-8.13361,18.24,0.331,150,12.34,1.0,0.15,1,0.89
