nombre,alt,ra_grados,dec_grados,re_arcsec,razon_ejes,pa_grados,mag_v,sersic_n,frac_bulbo,polvo,n_medido
NGC 3423,UGC 5962,162.80542,5.84194,41.58,0.851,10,11.04,1.0,0.08,0,1.86
NGC 3414,UGC 5959,162.81792,27.97583,66.78,0.724,0,11.06,4.0,0.6,0,5.96
NGC 3430,UGC 5982,163.04542,32.9525,49.96,0.562,30,11.65,1.0,0.15,0,1.21
NGC 3432,UGC 5986,163.13042,36.61889,132.48,0.219,38,11.12,1.0,0.03,1,1.46
NGC 3449,ESO 376- 25,163.22125,-32.92611,24.1,0.288,148,11.44,1.0,0.3,1,0.0
NGC 3445,UGC 6021,163.65208,56.99111,14.96,0.912,0,12.35,1.0,0.03,0,0.74
NGC 3448,UGC 6024,163.66292,54.30667,41.29,0.316,65,11.93,1.0,0.03,1,2.69
NGC 3464,ESO 569- 22,163.66875,-21.065,32.85,0.646,112,12.45,1.0,0.15,0,0.0
NGC 3489,UGC 6082,165.07583,13.90222,68.29,0.575,70,10.22,4.0,0.6,0,4.53
NGC 3486,UGC 6079,165.09833,28.97583,82.43,0.741,80,10.5,1.0,0.15,0,3.8
NGC 3495,UGC 6098,165.31583,3.62639,49.66,0.245,20,11.86,1.0,0.08,1,0.76
NGC 3504,UGC 6118,165.795,27.97361,38.75,0.776,0,11.07,1.0,0.3,0,12.52
NGC 3511,ESO 502- 13,165.84875,-23.08639,94.4,0.355,76,10.98,1.0,0.15,0,1.98
NGC 3507,UGC 6123,165.85667,18.1375,42.63,0.851,110,10.98,1.0,0.3,0,5.07
NGC 3513,ESO 502- 14,165.94042,-23.24472,56.38,0.794,75,11.38,1.0,0.15,0,1.43
NGC 3512,UGC 6128,166.01,28.03861,32.82,0.933,0,12.43,1.0,0.15,0,1.67
NGC 3521,UGC 6150,166.45375,-0.0375,84.83,0.468,163,9.08,1.0,0.15,0,2.49
NGC 3516,UGC 6153,166.69708,72.57,35.45,0.776,0,11.6,4.0,0.6,0,0.0
IC 2627,ESO 502- 21,167.47208,-23.72639,39.0,0.871,0,11.87,1.0,0.15,0,2.23
NGC 3557,ESO 377- 16,167.48958,-37.53806,35.25,0.724,30,10.51,4.0,1.0,0,0.0
NGC 3549,UGC 6215,167.73583,53.38778,32.85,0.363,38,12.23,1.0,0.15,0,0.83
NGC 3556,UGC 6225,167.8825,55.67083,191.91,0.257,80,10.14,1.0,0.08,1,1.61
NGC 3585,ESO 502- 25,168.32042,-26.75556,48.65,0.55,107,9.98,4.0,1.0,0,0.0
Leo II,UGC 6253,168.37208,22.15333,172.63,0.912,0,11.7,4.0,1.0,0,0.0
NGC 3593,UGC 6272,168.65042,12.81861,61.48,0.372,92,10.96,1.0,0.6,0,3.22
,ESO 377- 29,168.66167,-33.90583,3.38,0.398,128,11.78,4.0,0.6,0,0.0
NGC 3596,UGC 6277,168.77208,14.78806,58.42,0.955,0,11.4,1.0,0.15,0,2.5
NGC 3599,UGC 6281,168.86375,18.11278,73.22,0.794,0,11.92,4.0,0.6,0,12.63
NGC 3607,UGC 6297,169.22542,18.05333,123.58,0.501,120,9.92,4.0,0.6,0,0.0
NGC 3608,UGC 6299,169.24458,18.14917,37.34,0.813,75,10.8,4.0,1.0,0,5.92
NGC 3611,UGC 6305,169.37292,4.55472,36.73,0.813,0,12.02,1.0,0.5,0,3.36
NGC 3621,ESO 377- 37,169.57,-32.81361,91.48,0.575,159,9.73,1.0,0.08,0,0.0
NGC 3610,UGC 6319,169.60792,58.78722,16.68,0.851,0,10.8,4.0,1.0,0,0.0
NGC 3613,UGC 6323,169.65083,58.00139,39.55,0.479,102,10.92,4.0,1.0,0,0.0
NGC 3623,UGC 6328,169.73042,13.09306,139.77,0.295,174,9.5,1.0,0.5,1,1.69
NGC 3619,UGC 6330,169.84083,57.75972,74.92,0.871,0,11.6,4.0,0.6,0,12.21
NGC 3626,UGC 6343,170.01542,18.35833,84.07,0.724,157,10.88,4.0,0.6,0,10.53
NGC 3627,UGC 6346,170.0625,12.99139,113.24,0.457,173,8.9,1.0,0.3,0,2.85
NGC 3628,UGC 6350,170.06792,13.58944,124.75,0.2,104,9.53,1.0,0.3,1,1.95
NGC 3631,UGC 6360,170.26125,53.17139,61.44,0.955,0,10.46,1.0,0.15,0,5.63
NGC 3640,UGC 6368,170.27833,3.23556,36.07,0.794,100,10.46,4.0,1.0,0,0.0
NGC 3646,UGC 6376,170.43,20.17111,80.54,0.575,50,11.03,1.0,0.15,0,0.0
NGC 3642,UGC 6385,170.57667,59.07611,61.82,0.832,105,10.9,1.0,0.15,0,9.02
NGC 3655,UGC 6396,170.72792,16.59083,12.61,0.661,30,11.75,1.0,0.15,0,1.61
NGC 3666,UGC 6420,171.10708,11.34278,46.43,0.275,100,12.15,1.0,0.15,1,1.35
NGC 3665,UGC 6426,171.18042,38.76306,86.02,0.832,30,10.87,4.0,0.6,0,0.0
NGC 3672,MCG -2-29- 28,171.26,-9.79528,56.04,0.468,12,11.54,1.0,0.15,0,0.97
NGC 3675,UGC 6439,171.5325,43.585,67.09,0.525,178,10.25,1.0,0.3,0,2.72
NGC 3681,UGC 6445,171.62292,16.86417,23.33,0.794,0,11.15,1.0,0.15,0,3.52
NGC 3684,UGC 6453,171.79667,17.03028,31.59,0.692,130,11.25,1.0,0.15,0,1.68
NGC 3686,UGC 6460,171.93375,17.22361,48.54,0.776,15,11.14,1.0,0.15,0,1.01
NGC 3691,UGC 6464,172.03583,16.92083,12.8,0.741,15,11.85,1.0,0.3,0,0.53
NGC 3706,ESO 378- 6,172.43375,-36.3925,26.13,0.603,78,11.48,4.0,1.0,0,0.0
NGC 3705,UGC 6498,172.52833,9.27667,53.03,0.417,122,11.11,1.0,0.3,0,2.45
NGC 3717,ESO 439- 15,172.8825,-30.30778,67.01,0.186,33,11.49,1.0,0.3,1,0.0
,UGC 6510,172.8825,-2.30861,52.35,0.933,10,12.45,1.0,0.08,0,0.0
NGC 3718,UGC 6524,173.14875,53.06639,121.77,0.49,15,10.84,1.0,0.5,0,14.75
NGC 3726,UGC 6537,173.33708,47.0275,75.59,0.692,10,10.36,1.0,0.15,0,0.76
NGC 3729,UGC 6547,173.4575,53.12694,44.41,0.676,15,11.28,1.0,0.5,0,1.38
NGC 3732,MCG -2-30- 5,173.55833,-9.84583,21.75,0.955,82,11.6,1.0,0.6,0,0.0
NGC 3733,UGC 6554,173.7575,54.85222,79.25,0.457,170,12.38,1.0,0.08,0,2.01
NGC 3738,UGC 6565,173.95333,54.52278,23.05,0.759,155,11.58,1.0,0.03,0,1.39
NGC 3756,UGC 6579,174.20208,54.29611,45.63,0.501,177,11.36,1.0,0.15,0,0.69
NGC 3769,UGC 6595,174.4325,47.89444,25.25,0.316,152,11.8,1.0,0.3,1,1.24
NGC 3801,UGC 6635,175.06792,17.72833,116.04,0.603,120,12.06,4.0,0.6,0,0.0
,ESO 266- 15,175.23333,-44.48056,38.75,0.562,140,12.25,1.0,0.15,0,0.0
NGC 3810,UGC 6644,175.24375,11.47139,50.83,0.708,15,10.8,1.0,0.15,0,1.89
NGC 3811,UGC 6650,175.3175,47.69306,23.89,0.759,160,12.35,1.0,0.08,0,0.0
NGC 3813,UGC 6651,175.32583,36.54694,19.79,0.49,87,11.48,1.0,0.3,0,0.88
NGC 3818,MCG -1-30- 23,175.48917,-6.15583,28.65,0.603,100,11.77,4.0,1.0,0,0.0
NGC 3842,UGC 6704,176.00833,19.95028,44.37,0.724,5,11.88,4.0,1.0,0,0.0
NGC 3872,UGC 6738,176.45417,13.76611,22.76,0.631,0,11.84,4.0,1.0,0,0.0
NGC 3877,UGC 6745,176.53333,47.49417,95.45,0.234,35,11.24,1.0,0.15,1,0.72
NGC 3885,ESO 440- 7,176.69417,-27.92278,30.29,0.398,123,10.99,1.0,0.6,0,5.79
NGC 3887,MCG -3-30- 12,176.76958,-16.85444,93.56,0.759,20,10.66,1.0,0.15,0,1.4
,ESO 378- 20,176.81958,-37.55111,3.68,0.468,29,11.86,4.0,0.6,0,0.0
NGC 3888,UGC 6765,176.89042,55.97139,26.68,0.741,120,12.16,1.0,0.15,0,2.0
NGC 3893,UGC 6778,177.16292,48.71111,46.08,0.617,165,10.61,1.0,0.15,0,2.12
NGC 3894,UGC 6779,177.21417,59.41694,32.52,0.617,20,11.73,4.0,1.0,0,0.0
NGC 3900,UGC 6786,177.28708,27.02389,109.29,0.537,2,11.3,4.0,0.6,0,4.13
NGC 3904,ESO 440- 13,177.30542,-29.27639,28.65,0.724,8,10.93,4.0,1.0,0,5.72
NGC 3898,UGC 6787,177.31417,56.08389,51.62,0.589,107,10.85,1.0,0.3,0,6.87
NGC 3917,UGC 6815,177.68917,51.82583,107.62,0.245,77,11.96,1.0,0.08,1,0.72
NGC 3923,ESO 440- 17,177.75875,-28.80639,61.25,0.661,50,9.9,4.0,1.0,0,0.0
NGC 3938,UGC 6856,178.2075,44.12389,85.33,0.912,0,10.35,1.0,0.15,0,1.8
NGC 3941,UGC 6857,178.22958,36.98722,76.67,0.661,10,10.35,4.0,0.6,0,4.14
NGC 3945,UGC 6860,178.31125,60.67667,76.67,0.661,15,10.9,4.0,0.6,0,0.0
NGC 3949,UGC 6869,178.42292,47.85972,24.3,0.575,120,10.79,1.0,0.15,0,1.16
NGC 3953,UGC 6870,178.45625,52.3275,128.97,0.501,13,10.09,1.0,0.15,0,2.55
NGC 3955,ESO 504- 26,178.49125,-23.165,32.3,0.324,165,11.74,1.0,0.6,0,1.46
NGC 3962,MCG -2-30- 40,178.66583,-13.97306,37.77,0.871,10,10.72,4.0,1.0,0,6.06
NGC 3963,UGC 6884,178.74708,58.49361,33.08,0.912,0,11.75,1.0,0.15,0,0.0
NGC 3972,UGC 6904,178.94208,55.31861,39.07,0.275,120,12.23,1.0,0.15,1,1.05
A 1154+49,UGC 6930,179.32167,49.28556,82.04,0.631,0,12.1,1.0,0.08,0,1.65
NGC 3992,UGC 6937,179.40083,53.37528,136.81,0.617,68,9.85,1.0,0.15,0,5.57
NGC 3995,UGC 6944,179.435,32.29389,24.93,0.38,33,12.15,1.0,0.03,0,0.0
NGC 3998,UGC 6946,179.48583,55.45417,51.84,0.832,140,10.71,4.0,0.6,0,7.05
NGC 4008,UGC 6953,179.57167,28.19278,23.83,0.525,167,12.06,4.0,1.0,0,0.0
NGC 4024,ESO 572- 31,179.63125,-18.345,24.11,0.776,70,11.75,4.0,1.0,0,0.0
NGC 4013,UGC 6963,179.63208,43.94667,107.29,0.195,66,11.44,1.0,0.3,1,1.21
IC 749,UGC 6962,179.64,42.73611,27.83,0.813,150,12.37,1.0,0.08,0,0.68
NGC 4017,UGC 6967,179.68875,27.45417,17.84,0.776,0,12.25,1.0,0.15,0,0.0
IC 750,UGC 6973,179.71583,42.72222,27.58,0.447,43,12.19,1.0,0.3,0,1.59
NGC 4026,UGC 6985,179.85667,50.96194,18.38,0.245,178,10.77,4.0,0.6,0,0.0
NGC 4027,ESO 572- 37,179.87542,-19.26806,42.31,0.759,167,11.11,1.0,0.03,0,1.57
NGC 4032,UGC 6995,180.1375,20.07611,21.95,0.977,0,12.26,1.0,0.03,0,1.38
NGC 4033,ESO 572- 42,180.145,-17.84167,24.11,0.427,47,11.71,4.0,1.0,0,0.0
NGC 4036,UGC 7005,180.36375,61.89472,48.65,0.398,85,10.67,4.0,1.0,0,0.0
NGC 4041,UGC 7014,180.55,62.13917,26.86,0.933,0,11.13,1.0,0.15,0,1.96
NGC 4045,UGC 7021,180.675,1.97889,51.29,0.692,95,12.04,1.0,0.5,0,9.54
NGC 4051,UGC 7030,180.79,44.53139,119.15,0.741,135,10.08,1.0,0.15,0,0.0
NGC 4062,UGC 7045,181.01458,31.89472,40.16,0.427,100,11.35,1.0,0.15,0,0.72
NGC 4064,UGC 7054,181.045,18.44278,65.73,0.398,150,11.47,1.0,0.5,0,2.92
NGC 4073,UGC 7060,181.11042,1.89667,55.86,0.724,105,11.51,4.0,1.0,0,0.0
NGC 4085,UGC 7075,181.34542,50.35389,24.57,0.282,78,12.4,1.0,0.15,1,1.16
NGC 4088,UGC 7081,181.3975,50.54222,91.65,0.389,43,10.4,1.0,0.15,0,1.14
NGC 4096,UGC 7090,181.50417,47.47528,106.43,0.269,20,10.93,1.0,0.15,1,1.57
NGC 4100,UGC 7095,181.53542,49.58167,76.74,0.331,167,11.14,1.0,0.15,1,0.99
NGC 4102,UGC 7096,181.5975,52.71139,33.27,0.575,38,11.24,1.0,0.3,0,7.91
NGC 4105,ESO 440- 54,181.66958,-29.76167,40.01,0.741,151,10.7,4.0,1.0,0,6.65
NGC 4106,ESO 440- 56,181.68625,-29.76833,54.28,0.794,77,11.46,4.0,0.6,0,4.56
NGC 4111,UGC 7103,181.76125,43.06722,11.51,0.214,150,10.73,4.0,0.6,0,4.26
NGC 4116,UGC 7111,181.90167,2.6925,46.13,0.575,155,11.86,1.0,0.03,0,1.59
NGC 4125,UGC 7118,182.03,65.17278,78.91,0.55,95,9.75,4.0,1.0,0,0.0
NGC 4124,UGC 7117,182.03833,10.37917,56.05,0.331,114,11.28,4.0,0.6,0,0.0
NGC 4123,UGC 7116,182.04625,2.87778,119.15,0.741,135,11.43,1.0,0.15,0,0.0
NGC 4128,UGC 7120,182.13583,68.76778,8.57,0.331,58,12.03,4.0,0.6,0,0.0
NGC 4138,UGC 7139,182.37833,43.68778,65.26,0.661,150,11.26,4.0,0.6,0,2.94
NGC 4143,UGC 7142,182.4025,42.53639,105.83,0.631,144,10.75,4.0,0.6,0,0.0
NGC 4144,UGC 7151,182.4975,46.45722,98.65,0.219,104,11.5,1.0,0.08,1,1.38
NGC 4145,UGC 7154,182.50917,39.88111,133.02,0.724,100,11.23,1.0,0.08,0,2.07
NGC 4151,UGC 7166,182.6375,39.40778,21.79,0.708,50,10.75,1.0,0.3,0,5.43
NGC 4150,UGC 7165,182.63958,30.40167,58.16,0.692,147,11.54,4.0,0.6,0,0.0
NGC 4152,UGC 7169,182.65667,16.03361,24.89,0.776,115,12.11,1.0,0.15,0,1.89
NGC 4157,UGC 7183,182.77042,50.48611,67.27,0.2,66,11.4,1.0,0.3,1,1.13
NGC 4162,UGC 7193,182.96583,24.12333,30.98,0.603,174,12.12,1.0,0.15,0,1.53
NGC 4168,UGC 7203,183.06875,13.20667,31.41,0.832,0,11.21,4.0,1.0,0,0.0
NGC 4178,UGC 7215,183.19292,10.86361,53.08,0.355,30,11.35,1.0,0.03,0,1.55
NGC 4179,UGC 7214,183.2175,1.3,26.6,0.282,143,11.01,4.0,0.6,0,0.0
NGC 4183,UGC 7222,183.32333,43.69861,105.12,0.148,166,12.31,1.0,0.08,1,1.44
NGC 4189,UGC 7235,183.445,13.42667,24.38,0.724,85,11.96,1.0,0.08,0,0.74
NGC 4192,UGC 7231,183.45083,14.89528,167.39,0.282,155,10.2,1.0,0.3,1,17.48
NGC 4203,UGC 7256,183.77208,33.19806,21.0,0.933,10,10.9,4.0,1.0,0,8.31
NGC 4206,UGC 7260,183.81917,13.025,108.54,0.191,0,12.07,1.0,0.15,1,1.5
NGC 4212,UGC 7275,183.91292,13.90139,52.01,0.617,75,11.28,1.0,0.15,0,0.91
NGC 4214,UGC 7278,183.91458,36.3275,85.4,0.776,0,9.69,1.0,0.03,0,1.39
NGC 4217,UGC 7282,183.96208,47.09222,95.56,0.295,50,11.29,1.0,0.3,1,1.41
NGC 4216,UGC 7284,183.97125,13.14944,65.69,0.219,19,10.24,1.0,0.3,1,5.67
NGC 4215,UGC 7281,183.97792,6.40194,5.57,0.38,174,12.1,4.0,0.6,0,0.0
NGC 4220,UGC 7290,184.04917,47.88472,54.76,0.355,141,11.37,4.0,0.6,0,1.5
NGC 4219,ESO 267- 37,184.11667,-43.32444,51.58,0.295,36,11.96,1.0,0.15,1,0.0
NGC 4224,UGC 7292,184.14,7.46111,39.61,0.398,57,12.15,1.0,0.5,0,4.08
NGC 4236,UGC 7306,184.18083,69.46556,413.39,0.331,162,9.5,1.0,0.03,1,1.32
NGC 4233,UGC 7311,184.2775,7.62306,34.82,0.457,174,12.0,4.0,0.6,0,0.0
NGC 4235,UGC 7310,184.28708,7.19194,42.3,0.224,48,11.87,1.0,0.5,1,6.02
NGC 4237,UGC 7315,184.29458,15.32444,19.34,0.646,108,11.76,1.0,0.15,0,1.0
NGC 4241,UGC 7319,184.35583,6.69056,28.83,0.525,128,12.09,4.0,0.6,0,5.47
NGC 4244,UGC 7322,184.375,37.8075,253.05,0.115,48,10.33,1.0,0.08,1,0.68
NGC 4242,UGC 7323,184.37583,45.6225,119.25,0.759,25,10.82,1.0,0.03,0,1.18
NGC 4245,UGC 7328,184.40417,29.60944,61.3,0.759,0,11.41,1.0,0.6,0,4.54
NGC 4251,UGC 7338,184.53333,28.17556,38.68,0.407,100,10.68,4.0,0.6,0,0.0
NGC 4254,UGC 7345,184.70583,14.41861,67.78,0.871,0,9.89,1.0,0.15,0,1.99
NGC 4258,UGC 7353,184.74125,47.30444,205.18,0.389,150,8.35,1.0,0.15,0,2.45
NGC 4260,UGC 7361,184.84167,6.10028,35.99,0.501,58,11.95,1.0,0.5,0,2.95
NGC 4261,UGC 7360,184.845,5.82667,38.21,0.891,160,10.51,4.0,1.0,0,0.0
NGC 4262,UGC 7365,184.87792,14.87889,13.71,0.912,0,11.59,4.0,1.0,0,5.57
NGC 4267,UGC 7373,184.94042,12.79917,42.87,0.933,0,10.96,4.0,1.0,0,10.03
NGC 4274,UGC 7377,184.96208,29.615,77.19,0.372,102,10.59,1.0,0.3,0,3.94
NGC 4273,UGC 7380,184.98167,5.34667,34.36,0.646,10,11.84,1.0,0.15,0,2.3
NGC 4278,UGC 7386,185.03,29.27972,35.66,0.933,0,10.19,4.0,1.0,0,4.45
NGC 4291,UGC 7397,185.07583,75.3725,18.93,0.832,110,11.53,4.0,1.0,0,0.0
NGC 4283,UGC 7390,185.0875,29.31111,12.65,0.977,0,12.1,4.0,1.0,0,3.52
NGC 4281,UGC 7389,185.09042,5.38694,51.23,0.49,88,11.35,4.0,0.6,0,0.0
NGC 4293,UGC 7405,185.30417,18.38278,178.91,0.457,72,10.36,1.0,0.6,0,2.7
NGC 4294,UGC 7407,185.3225,11.51111,49.09,0.38,155,11.98,1.0,0.08,0,1.31
NGC 4298,UGC 7412,185.38625,14.60694,33.49,0.562,140,11.49,1.0,0.15,0,1.15
NGC 4299,UGC 7414,185.41917,11.50417,16.71,0.933,26,12.33,1.0,0.03,0,0.64
NGC 4302,UGC 7418,185.42708,14.60139,53.09,0.182,178,11.95,1.0,0.15,1,1.24
NGC 4303,UGC 7420,185.47792,4.47222,99.11,0.891,0,9.43,1.0,0.15,0,1.67
NGC 4307,UGC 7431,185.52167,9.04417,27.4,0.214,24,12.03,1.0,0.3,1,1.17
NGC 4312,UGC 7442,185.63125,15.53889,75.13,0.245,170,11.78,1.0,0.3,1,2.27
NGC 4314,UGC 7443,185.63417,29.89639,66.83,0.891,0,10.68,1.0,0.5,0,3.77
NGC 4313,UGC 7445,185.65875,11.80361,32.86,0.257,143,11.79,1.0,0.3,1,2.76
NGC 4321,UGC 7450,185.73,15.82306,127.68,0.851,30,9.3,1.0,0.15,0,3.6
NGC 4324,UGC 7451,185.77375,5.24972,40.65,0.447,53,11.61,4.0,0.6,0,2.78
NGC 4346,UGC 7463,185.86667,46.99417,12.61,0.38,99,11.24,4.0,0.6,0,4.95
NGC 4339,UGC 7461,185.89333,6.08194,32.89,0.955,0,11.36,4.0,1.0,0,0.0
NGC 4340,UGC 7467,185.89792,16.72472,116.04,0.794,102,11.2,4.0,0.6,0,0.0
NGC 4350,UGC 7473,185.9925,16.69278,44.36,0.479,28,11.04,4.0,0.6,0,0.0
NGC 4365,UGC 7488,186.11625,7.31833,58.5,0.724,40,9.62,4.0,1.0,0,0.0
NGC 4386,UGC 7491,186.12167,75.53028,58.97,0.55,135,11.77,4.0,0.6,0,0.0
NGC 4369,UGC 7489,186.14958,39.3825,30.55,0.977,0,11.58,1.0,0.5,0,2.76
NGC 4371,UGC 7493,186.23,11.70444,76.3,0.562,95,10.89,4.0,0.6,0,3.64
NGC 4374,UGC 7494,186.26542,12.8875,54.59,0.871,135,9.19,4.0,1.0,0,6.02
NGC 4377,UGC 7501,186.30208,14.76417,14.53,0.813,177,11.86,4.0,1.0,0,0.0
NGC 4379,UGC 7502,186.31167,15.6075,50.08,0.851,105,11.73,4.0,0.6,0,0.0
NGC 4378,UGC 7497,186.32292,4.92667,35.07,0.933,167,11.88,1.0,0.5,0,5.41
NGC 4373,ESO 322- 6,186.3275,-39.76028,94.32,0.724,43,11.0,4.0,0.6,0,0.0
NGC 4380,UGC 7503,186.3425,10.01583,45.58,0.55,153,11.91,1.0,0.3,0,2.09
NGC 4382,UGC 7508,186.35292,18.19083,169.68,0.776,0,9.1,4.0,0.6,0,0.0
NGC 4383,UGC 7507,186.35667,16.47,23.75,0.525,28,11.92,1.0,0.5,0,3.43
NGC 4389,UGC 7514,186.39625,45.68611,24.87,0.513,105,11.78,1.0,0.15,0,1.94
NGC 4373A,ESO 322- 8,186.40667,-39.32,18.85,0.324,149,11.7,4.0,0.6,0,0.0
NGC 4388,UGC 7520,186.44583,12.66167,85.63,0.229,92,11.01,1.0,0.3,1,0.0
NGC 4395,UGC 7524,186.45792,33.54611,193.39,0.832,147,10.09,1.0,0.03,0,1.63
NGC 4394,UGC 7523,186.48375,18.215,64.31,0.891,0,10.98,1.0,0.3,0,9.25
NGC 4402,UGC 7528,186.53292,13.11278,33.55,0.282,90,11.8,1.0,0.3,1,1.05
NGC 4406,UGC 7532,186.54917,12.94694,129.46,0.646,130,8.93,4.0,1.0,0,6.24
NGC 4414,UGC 7539,186.61458,31.22472,40.57,0.562,155,10.41,1.0,0.15,0,1.51
NGC 4413,UGC 7538,186.6325,12.60972,40.57,0.646,60,11.5,1.0,0.3,0,2.6
NGC 4411B,UGC 7546,186.69708,8.88389,48.3,1.0,0,12.36,1.0,0.08,0,1.79
NGC 4417,UGC 7542,186.71042,9.58389,32.46,0.389,49,11.1,4.0,0.6,0,0.0
NGC 4419,UGC 7551,186.73708,15.04778,41.84,0.339,133,11.33,1.0,0.5,1,2.54
NGC 4420,UGC 7549,186.74208,2.49417,17.97,0.479,8,12.17,1.0,0.15,0,0.65
NGC 4421,UGC 7554,186.76042,15.46194,94.94,0.759,20,11.57,1.0,0.6,0,0.0
NGC 4424,UGC 7561,186.79792,9.42083,67.92,0.501,95,11.59,1.0,0.5,0,3.14
NGC 4425,UGC 7562,186.80583,12.73583,39.08,0.339,27,11.83,4.0,0.6,0,0.0
NGC 4429,UGC 7568,186.86,11.10806,91.58,0.457,99,10.12,4.0,0.6,0,0.0
NGC 4430,UGC 7566,186.86042,6.26306,31.1,0.891,80,12.04,1.0,0.3,0,1.47
IC 3370,ESO 322- 14,186.90417,-39.33833,43.36,0.794,45,11.09,4.0,1.0,0,0.0
NGC 4435,UGC 7575,186.91917,13.08,66.78,0.724,13,10.84,4.0,0.6,0,0.0
A 1225+43,UGC 7577,186.92458,43.49389,83.18,0.562,130,12.29,1.0,0.03,0,0.73
NGC 4438,UGC 7574,186.93958,13.01,154.43,0.372,27,10.12,1.0,0.6,0,5.11
NGC 4440,UGC 7581,186.97208,12.29306,32.36,0.832,0,11.95,1.0,0.5,0,0.0
NGC 4442,UGC 7583,187.01542,9.805,50.27,0.389,87,10.48,4.0,0.6,0,3.47
NGC 4449,UGC 7592,187.0475,44.09444,59.08,0.708,45,9.44,1.0,0.03,0,1.84
NGC 4448,UGC 7591,187.065,28.62083,41.54,0.363,94,11.25,1.0,0.3,0,1.89
NGC 4450,UGC 7594,187.1225,17.08472,95.12,0.741,175,10.15,1.0,0.3,0,4.12
NGC 4452,UGC 7601,187.18083,11.75583,21.19,0.219,32,11.97,4.0,0.6,0,0.0
IC 3392,UGC 7602,187.18208,15.00139,21.76,0.427,40,12.24,1.0,0.3,0,1.47
NGC 4454,UGC 7606,187.21292,-1.94083,85.6,0.851,100,11.82,1.0,0.6,0,4.9
NGC 4458,UGC 7610,187.24083,13.24306,27.36,0.912,0,12.03,4.0,1.0,0,0.0
NGC 4457,UGC 7609,187.24708,3.57111,41.92,0.851,0,10.86,1.0,0.6,0,8.91
NGC 4459,UGC 7614,187.25042,13.97944,110.82,0.759,110,10.42,4.0,0.6,0,0.0
NGC 4461,UGC 7613,187.2625,13.18556,53.39,0.407,9,11.19,4.0,0.6,0,5.35
NGC 4462,ESO 506- 13,187.33833,-23.16639,39.51,0.38,124,12.04,1.0,0.3,0,3.3
NGC 4472,UGC 7629,187.44375,7.99944,115.38,0.813,155,8.47,4.0,1.0,0,4.49
NGC 4473,UGC 7631,187.45333,13.43028,34.84,0.562,100,10.26,4.0,1.0,0,0.0
NGC 4474,UGC 7634,187.4725,14.06833,73.22,0.603,80,11.48,4.0,0.6,0,0.0
NGC 4477,UGC 7638,187.51042,13.63639,108.3,0.912,15,10.48,4.0,0.6,0,0.0
NGC 4478,UGC 7645,187.5725,12.32889,14.53,0.851,140,11.46,4.0,1.0,0,0.0
NGC 4485,UGC 7648,187.63208,41.70028,20.58,0.708,15,11.77,1.0,0.03,0,0.9
NGC 4490,UGC 7651,187.65292,41.63972,80.8,0.49,125,9.67,1.0,0.08,0,1.0
NGC 4486,UGC 7654,187.70708,12.39,106.44,0.794,0,8.69,4.0,1.0,0,0.0
NGC 4489,UGC 7655,187.71792,16.75861,29.32,0.912,0,11.94,4.0,1.0,0,6.42
NGC 4494,UGC 7662,187.85125,25.77361,56.51,0.741,0,9.81,4.0,1.0,0,4.13
NGC 4496A,UGC 7668A,187.91375,3.93972,48.01,0.794,70,11.39,1.0,0.03,0,1.18
NGC 4498,UGC 7669,187.91625,16.85361,33.53,0.537,133,12.24,1.0,0.08,0,1.43
NGC 4501,UGC 7675,187.99833,14.42139,131.12,0.537,140,9.61,1.0,0.3,0,1.3
NGC 4503,UGC 7680,188.02667,11.17833,36.49,0.468,12,11.15,4.0,1.0,0,4.32
NGC 4517A,UGC 7685,188.11625,0.38972,96.93,0.661,30,12.39,1.0,0.03,0,1.41
NGC 4517,UGC 7694,188.19,0.11222,229.97,0.148,83,10.55,1.0,0.08,1,0.77
A 1230+31,UGC 7698,188.2,31.53333,133.8,0.692,0,12.45,1.0,0.03,0,0.0
NGC 4516,UGC 7703,188.2825,14.57583,32.36,0.562,0,12.01,1.0,0.3,0,0.0
NGC 4519,UGC 7709,188.37708,8.65444,37.81,0.776,145,11.79,1.0,0.08,0,2.07
NGC 4522,UGC 7711,188.41667,9.175,38.9,0.269,33,12.44,1.0,0.08,1,1.93
NGC 4526,UGC 7718,188.51208,7.70028,73.89,0.331,113,9.76,4.0,0.6,0,0.0
NGC 4528,UGC 7722,188.52667,11.3225,12.78,0.617,5,12.07,4.0,0.6,0,3.27
NGC 4527,UGC 7721,188.53667,2.65361,91.55,0.339,67,10.63,1.0,0.15,1,6.22
NGC 4531,UGC 7729,188.56708,13.07639,46.95,0.661,155,11.52,4.0,0.6,0,1.35
NGC 4532,UGC 7726,188.58083,6.47,23.59,0.389,160,11.75,1.0,0.03,0,1.09
NGC 4535,UGC 7727,188.58458,8.19806,150.01,0.708,0,10.04,1.0,0.15,0,1.15
NGC 4536,UGC 7732,188.61208,2.18861,131.81,0.427,130,10.41,1.0,0.15,0,16.55
NGC 4539,UGC 7735,188.64583,18.2025,40.01,0.407,95,12.13,1.0,0.5,0,2.04
NGC 4540,UGC 7742,188.7125,15.55278,17.67,0.776,40,11.89,1.0,0.08,0,1.04
NGC 4548,UGC 7753,188.85958,14.49694,115.68,0.794,150,10.21,1.0,0.3,0,4.78
NGC 4546,MCG -1-32- 27,188.87292,-3.79361,41.41,0.437,78,10.4,4.0,1.0,0,4.68
